x1,x2,x3,x4,t
-9.728880,-8.854290,29.589845,-89.116582,2.220000
-9.633849,-8.610069,29.645499,-89.323750,2.230000
-9.524611,-8.366214,29.667781,-89.457314,2.240000
-9.402719,-8.126153,29.657163,-89.516939,2.250000
-9.269895,-7.893070,29.614632,-89.503567,2.260000
-9.127986,-7.669848,29.541621,-89.419314,2.270000
-8.978920,-7.459019,29.439944,-89.267349,2.280000
-8.824665,-7.262739,29.311718,-89.051742,2.290000
-8.667187,-7.082780,29.159291,-88.777300,2.300000
-8.508417,-6.920529,28.985167,-88.449402,2.310000
-8.350216,-6.777009,28.791947,-88.073834,2.320000
-8.194346,-6.652906,28.582267,-87.656639,2.330000
-8.042456,-6.548607,28.358754,-87.203978,2.340000
-7.896058,-6.464230,28.123986,-86.722010,2.350000
-7.756522,-6.399675,27.880465,-86.216798,2.360000
-7.625070,-6.354659,27.630596,-85.694225,2.370000
-7.502772,-6.328754,27.376674,-85.159939,2.380000
-7.390550,-6.321424,27.120878,-84.619308,2.390000
-7.289184,-6.332054,26.865272,-84.077397,2.400000
-7.199317,-6.359979,26.611806,-83.538958,2.410000
-7.121469,-6.404500,26.362324,-83.008423,2.420000
-7.056039,-6.464903,26.118571,-82.489917,2.430000
-7.003323,-6.540471,25.882204,-81.987271,2.440000
-6.963520,-6.630488,25.654801,-81.504041,2.450000
-6.936740,-6.734241,25.437871,-81.043527,2.460000
-6.923019,-6.851023,25.232863,-80.608803,2.470000
-6.922318,-6.980122,25.041172,-80.202733,2.480000
-6.934535,-7.120817,24.864149,-79.827998,2.490000
-6.959511,-7.272367,24.703105,-79.487115,2.500000
-6.997025,-7.434000,24.559310,-79.182454,2.510000
-7.046806,-7.604896,24.433997,-78.916255,2.520000
-7.108525,-7.784175,24.328358,-78.690634,2.530000
-7.181798,-7.970878,24.243538,-78.507593,2.540000
-7.266183,-8.163952,24.180627,-78.369017,2.550000
-7.361172,-8.362237,24.140648,-78.276669,2.560000
-7.466192,-8.564443,24.124541,-78.232177,2.570000
